2026-01-27;00:01:05;99999;employee_not_found;uploads/failed_attempts/6958aca2-d901-4d29-8c62-7aaec27ab11c.jpg
2026-01-29;08:58:58;4;face_mismatched;uploads/failed_attempts/eb5a495f-4b4e-478a-b327-4cc233d84615.jpg
2026-01-29;08:58:59;5;face_mismatched;uploads/failed_attempts/dee531c0-6933-4642-9622-c4eb79dd4ded.jpg
2026-01-29;08:59:00;6;face_mismatched;uploads/failed_attempts/2a263b54-7f8d-4d35-968d-4a4f89d49bc9.jpg
2026-01-29;09:04:04;7;face_mismatched;uploads/failed_attempts/039ce554-d21e-4d6e-b990-1cef2f16bab1.jpg
2026-01-29;09:04:36;7;face_mismatched;uploads/failed_attempts/c9fde64c-81e7-464c-94e6-999717fefc55.jpg
2026-01-29;09:06:07;4;face_mismatched;uploads/failed_attempts/02caeed4-2b09-4393-94c7-6f2be6cf5747.jpg
2026-01-29;09:29:30;7;face_mismatched;uploads/failed_attempts/61458395-11b5-4f6b-872d-394434fbd01a.jpg
2026-01-29;09:29:34;7;face_mismatched;uploads/failed_attempts/8623861d-0e7c-4369-9b06-31890ae2a12b.jpg
2026-01-29;09:31:02;7;face_mismatched;uploads/failed_attempts/90c5b783-401f-4559-a491-cf7e95588439.jpg
2026-01-29;09:40:31;13;face_mismatched;uploads/failed_attempts/d6383f14-7e5b-4441-bc10-6587b0c35285.jpg
